Date Time, Memory Used (GB)
2024-05-10 09:07:22, 80.87
2024-05-10 09:07:25, 82.68
2024-05-10 09:07:28, 91.83
2024-05-10 09:07:31, 100.98
2024-05-10 09:07:35, 110.10
2024-05-10 09:07:38, 92.72
2024-05-10 09:07:41, 82.22
2024-05-10 09:07:44, 87.30
2024-05-10 09:07:48, 96.39
2024-05-10 09:07:51, 105.47
2024-05-10 09:07:54, 114.59
2024-05-10 09:07:57, 82.70
2024-05-10 09:08:01, 83.48
2024-05-10 09:08:04, 90.87
2024-05-10 09:08:07, 99.93
2024-05-10 09:08:10, 108.98
2024-05-10 09:08:13, 118.05
2024-05-10 09:08:17, 83.84
2024-05-10 09:08:20, 84.59
2024-05-10 09:08:23, 92.84
2024-05-10 09:08:26, 101.91
2024-05-10 09:08:30, 110.97
2024-05-10 09:08:33, 120.05
2024-05-10 09:08:36, 84.84
2024-05-10 09:08:39, 85.62
2024-05-10 09:08:43, 94.38
2024-05-10 09:08:46, 103.42
2024-05-10 09:08:49, 112.48
2024-05-10 09:08:52, 121.56
2024-05-10 09:08:56, 71.30
2024-05-10 09:08:59, 46.58
2024-05-10 09:09:02, 46.58
2024-05-10 09:09:05, 46.58
2024-05-10 09:09:09, 46.69
2024-05-10 09:09:12, 47.13
2024-05-10 09:09:15, 47.93
2024-05-10 09:09:18, 47.98
2024-05-10 09:09:22, 48.45
2024-05-10 09:09:25, 48.81
2024-05-10 09:09:28, 49.30
2024-05-10 09:09:31, 49.60
